quest_chain_id,requirements,rewards,stages
1,"[{\"item_requirements\":[],\"skill_id\":0,\"skill_level\":0}]","[{\"item_rewards\":[{\"item_def_id\":44,\"quantity\":50}],\"skill_rewards\":[{\"skill_id\":1,\"xp\":100.0}]}]","[1,2]"
2,"[{\"item_requirements\":[],\"skill_id\":0,\"skill_level\":0}]","[{\"item_rewards\":[{\"item_def_id\":21,\"quantity\":1}],\"skill_rewards\":[{\"skill_id\":2,\"xp\":150.0}]}]","[3,4,5]"
3,"[{\"item_requirements\":[],\"skill_id\":0,\"skill_level\":0}]","[{\"item_rewards\":[{\"item_def_id\":50,\"quantity\":5}],\"skill_rewards\":[{\"skill_id\":3,\"xp\":200.0}]}]","[6,7]"
4,"[{\"item_requirements\":[],\"skill_id\":0,\"skill_level\":0}]","[{\"item_rewards\":[{\"item_def_id\":28,\"quantity\":1}],\"skill_rewards\":[{\"skill_id\":2,\"xp\":300.0}]}]","[8,9,10]"
5,"[{\"item_requirements\":[{\"item_def_id\":21,\"quantity\":1}],\"skill_id\":0,\"skill_level\":0}]","[{\"item_rewards\":[{\"item_def_id\":38,\"quantity\":20}],\"skill_rewards\":[{\"skill_id\":2,\"xp\":250.0}]}]","[11,12]"
6,"[{\"item_requirements\":[],\"skill_id\":0,\"skill_level\":0}]","[{\"item_rewards\":[{\"item_def_id\":33,\"quantity\":1}],\"skill_rewards\":[{\"skill_id\":1,\"xp\":500.0}]}]","[13,14,15,16]"
7,"[{\"item_requirements\":[],\"skill_id\":1,\"skill_level\":5}]","[{\"item_rewards\":[{\"item_def_id\":22,\"quantity\":1}],\"skill_rewards\":[{\"skill_id\":1,\"xp\":400.0}]}]","[17,18]"
8,"[{\"item_requirements\":[],\"skill_id\":0,\"skill_level\":0}]","[{\"item_rewards\":[{\"item_def_id\":46,\"quantity\":3}],\"skill_rewards\":[{\"skill_id\":4,\"xp\":350.0}]}]","[19,20,21]"
9,"[{\"item_requirements\":[{\"item_def_id\":28,\"quantity\":1}],\"skill_id\":0,\"skill_level\":0}]","[{\"item_rewards\":[{\"item_def_id\":34,\"quantity\":1}],\"skill_rewards\":[{\"skill_id\":2,\"xp\":600.0}]}]","[22,23]"
10,"[{\"item_requirements\":[],\"skill_id\":0,\"skill_level\":0}]","[{\"item_rewards\":[{\"item_def_id\":50,\"quantity\":10}],\"skill_rewards\":[{\"skill_id\":5,\"xp\":1000.0}]}]","[24,25,26,27,28]"
