quest_stage_id,completion_conditions
1,"[{\"item_requirements\":[],\"consume\":false}]"
2,"[{\"item_requirements\":[{\"item_def_id\":1,\"quantity\":5}],\"consume\":true}]"
3,"[{\"item_requirements\":[],\"consume\":false}]"
4,"[{\"item_requirements\":[{\"item_def_id\":4,\"quantity\":3}],\"consume\":true}]"
5,"[{\"item_requirements\":[{\"item_def_id\":5,\"quantity\":1}],\"consume\":true}]"
6,"[{\"item_requirements\":[],\"consume\":false}]"
7,"[{\"item_requirements\":[{\"item_def_id\":11,\"quantity\":10}],\"consume\":true}]"
8,"[{\"item_requirements\":[],\"consume\":false}]"
9,"[{\"item_requirements\":[{\"item_def_id\":18,\"quantity\":5}],\"consume\":true}]"
10,"[{\"item_requirements\":[{\"item_def_id\":19,\"quantity\":3}],\"consume\":true}]"
11,"[{\"item_requirements\":[],\"consume\":false}]"
12,"[{\"item_requirements\":[{\"item_def_id\":1,\"quantity\":1}],\"consume\":false}]"
13,"[{\"item_requirements\":[],\"consume\":false}]"
14,"[{\"item_requirements\":[{\"item_def_id\":4,\"quantity\":10}],\"consume\":true}]"
15,"[{\"item_requirements\":[{\"item_def_id\":6,\"quantity\":5}],\"consume\":true}]"
16,"[{\"item_requirements\":[{\"item_def_id\":7,\"quantity\":1}],\"consume\":true}]"
17,"[{\"item_requirements\":[{\"item_def_id\":1,\"quantity\":20}],\"consume\":true}]"
18,"[{\"item_requirements\":[{\"item_def_id\":4,\"quantity\":15}],\"consume\":true}]"
19,"[{\"item_requirements\":[],\"consume\":false}]"
20,"[{\"item_requirements\":[{\"item_def_id\":11,\"quantity\":8}],\"consume\":true}]"
21,"[{\"item_requirements\":[{\"item_def_id\":12,\"quantity\":5}],\"consume\":true}]"
22,"[{\"item_requirements\":[],\"consume\":false}]"
23,"[{\"item_requirements\":[{\"item_def_id\":20,\"quantity\":1}],\"consume\":true}]"
24,"[{\"item_requirements\":[],\"consume\":false}]"
25,"[{\"item_requirements\":[{\"item_def_id\":1,\"quantity\":30}],\"consume\":true}]"
26,"[{\"item_requirements\":[{\"item_def_id\":4,\"quantity\":20}],\"consume\":true}]"
27,"[{\"item_requirements\":[{\"item_def_id\":5,\"quantity\":10}],\"consume\":true}]"
28,"[{\"item_requirements\":[{\"item_def_id\":6,\"quantity\":5}],\"consume\":true}]"
